"","Class","Sex","Age","Survived"
"473","3rd","Male","Adult","No"
"580","3rd","Male","Adult","No"
"905","Crew","Male","Adult","No"
"1150","Crew","Male","Adult","No"
"368","3rd","Male","Adult","No"
"1164","Crew","Male","Adult","No"
"2059","2nd","Female","Adult","Yes"
"928","Crew","Male","Adult","No"
"1151","Crew","Male","Adult","No"
"654","3rd","Male","Adult","No"
"1738","Crew","Male","Adult","Yes"
"1642","3rd","Male","Adult","Yes"
"401","3rd","Male","Adult","No"
"1293","Crew","Male","Adult","No"
"1318","Crew","Male","Adult","No"
"765","Crew","Male","Adult","No"
"310","2nd","Male","Adult","No"
"1983","1st","Female","Adult","Yes"
"1128","Crew","Male","Adult","No"
"1784","Crew","Male","Adult","Yes"
"146","1st","Male","Adult","No"
"394","3rd","Male","Adult","No"
"508","3rd","Male","Adult","No"
"364","3rd","Male","Adult","No"
"660","3rd","Male","Adult","No"
"513","3rd","Male","Adult","No"
"170","1st","Male","Adult","No"
"1667","3rd","Male","Adult","Yes"
"1808","Crew","Male","Adult","Yes"
"1353","Crew","Male","Adult","No"
"682","3rd","Male","Adult","No"
"1883","Crew","Male","Adult","Yes"
"1044","Crew","Male","Adult","No"
"930","Crew","Male","Adult","No"
"69","1st","Male","Adult","No"
"1646","3rd","Male","Adult","Yes"
"2048","2nd","Female","Adult","Yes"
"1228","Crew","Male","Adult","No"
"2102","2nd","Female","Adult","Yes"
"1910","1st","Female","Adult","Yes"
"409","3rd","Male","Adult","No"
"175","2nd","Male","Adult","No"
"1605","2nd","Male","Adult","Yes"
"1490","Crew","Female","Adult","No"
"952","Crew","Male","Adult","No"
"430","3rd","Male","Adult","No"
"836","Crew","Male","Adult","No"
"1366","Crew","Male","Adult","No"
"1024","Crew","Male","Adult","No"
"2114","3rd","Female","Adult","Yes"
"1481","3rd","Female","Adult","No"
"74","1st","Male","Adult","No"
"1553","1st","Male","Adult","Yes"
"1007","Crew","Male","Adult","No"
"2189","Crew","Female","Adult","Yes"
"1058","Crew","Male","Adult","No"
"1873","Crew","Male","Adult","Yes"
"987","Crew","Male","Adult","No"
"1896","1st","Female","Adult","Yes"
"782","Crew","Male","Adult","No"
"961","Crew","Male","Adult","No"
"1526","2nd","Female","Child","Yes"
"395","3rd","Male","Adult","No"
"1554","1st","Male","Adult","Yes"
"1310","Crew","Male","Adult","No"
"1591","1st","Male","Adult","Yes"
"833","Crew","Male","Adult","No"
"1731","Crew","Male","Adult","Yes"
"1669","3rd","Male","Adult","Yes"
"357","3rd","Male","Adult","No"
"1218","Crew","Male","Adult","No"
"1930","1st","Female","Adult","Yes"
"2075","2nd","Female","Adult","Yes"
"1768","Crew","Male","Adult","Yes"
"441","3rd","Male","Adult","No"
"981","Crew","Male","Adult","No"
"1338","Crew","Male","Adult","No"
"964","Crew","Male","Adult","No"
"680","3rd","Male","Adult","No"
"2096","2nd","Female","Adult","Yes"
"1277","Crew","Male","Adult","No"
"162","1st","Male","Adult","No"
"1454","3rd","Female","Adult","No"
"1194","Crew","Male","Adult","No"
"570","3rd","Male","Adult","No"
"57","1st","Male","Adult","No"
"867","Crew","Male","Adult","No"
"2029","2nd","Female","Adult","Yes"
"827","Crew","Male","Adult","No"
"1461","3rd","Female","Adult","No"
"1435","3rd","Female","Adult","No"
"1816","Crew","Male","Adult","Yes"
"677","3rd","Male","Adult","No"
"730","Crew","Male","Adult","No"
"188","2nd","Male","Adult","No"
"2187","Crew","Female","Adult","Yes"
"2191","Crew","Female","Adult","Yes"
"701","3rd","Male","Adult","No"
"1143","Crew","Male","Adult","No"
"1633","3rd","Male","Adult","Yes"
"1900","1st","Female","Adult","Yes"
"1751","Crew","Male","Adult","Yes"
"1752","Crew","Male","Adult","Yes"
"1869","Crew","Male","Adult","Yes"
"1607","2nd","Male","Adult","Yes"
"1216","Crew","Male","Adult","No"
"1711","Crew","Male","Adult","Yes"
"196","2nd","Male","Adult","No"
"2103","2nd","Female","Adult","Yes"
"1241","Crew","Male","Adult","No"
"554","3rd","Male","Adult","No"
"392","3rd","Male","Adult","No"
"1836","Crew","Male","Adult","Yes"
"293","2nd","Male","Adult","No"
"742","Crew","Male","Adult","No"
"1533","2nd","Female","Child","Yes"
"877","Crew","Male","Adult","No"
"1632","3rd","Male","Adult","Yes"
"1779","Crew","Male","Adult","Yes"
"1361","Crew","Male","Adult","No"
"1829","Crew","Male","Adult","Yes"
"497","3rd","Male","Adult","No"
"1588","1st","Male","Adult","Yes"
"1039","Crew","Male","Adult","No"
"1202","Crew","Male","Adult","No"
"706","3rd","Male","Adult","No"
"1108","Crew","Male","Adult","No"
"758","Crew","Male","Adult","No"
"1574","1st","Male","Adult","Yes"
"663","3rd","Male","Adult","No"
"988","Crew","Male","Adult","No"
"1473","3rd","Female","Adult","No"
"1728","Crew","Male","Adult","Yes"
"93","1st","Male","Adult","No"
"1931","1st","Female","Adult","Yes"
"68","1st","Male","Adult","No"
"1483","3rd","Female","Adult","No"
"743","Crew","Male","Adult","No"
"1451","3rd","Female","Adult","No"
"1845","Crew","Male","Adult","Yes"
"760","Crew","Male","Adult","No"
"1522","2nd","Female","Child","Yes"
"493","3rd","Male","Adult","No"
"410","3rd","Male","Adult","No"
"1036","Crew","Male","Adult","No"
"2167","3rd","Female","Adult","Yes"
"466","3rd","Male","Adult","No"
"1095","Crew","Male","Adult","No"
"892","Crew","Male","Adult","No"
"874","Crew","Male","Adult","No"
"2076","2nd","Female","Adult","Yes"
"707","3rd","Male","Adult","No"
"1384","1st","Female","Adult","No"
"999","Crew","Male","Adult","No"
"1407","3rd","Female","Adult","No"
"260","2nd","Male","Adult","No"
"1859","Crew","Male","Adult","Yes"
"757","Crew","Male","Adult","No"
"1722","Crew","Male","Adult","Yes"
"201","2nd","Male","Adult","No"
"2080","2nd","Female","Adult","Yes"
"1104","Crew","Male","Adult","No"
"1479","3rd","Female","Adult","No"
"1624","3rd","Male","Adult","Yes"
"1640","3rd","Male","Adult","Yes"
"618","3rd","Male","Adult","No"
"490","3rd","Male","Adult","No"
"526","3rd","Male","Adult","No"
"117","1st","Male","Adult","No"
"204","2nd","Male","Adult","No"
"1598","1st","Male","Adult","Yes"
"429","3rd","Male","Adult","No"
"521","3rd","Male","Adult","No"
"1824","Crew","Male","Adult","Yes"
"1964","1st","Female","Adult","Yes"
"1877","Crew","Male","Adult","Yes"
"1195","Crew","Male","Adult","No"
"55","1st","Male","Adult","No"
"465","3rd","Male","Adult","No"
"1863","Crew","Male","Adult","Yes"
"1997","1st","Female","Adult","Yes"
"77","1st","Male","Adult","No"
"510","3rd","Male","Adult","No"
"529","3rd","Male","Adult","No"
"631","3rd","Male","Adult","No"
"558","3rd","Male","Adult","No"
"1831","Crew","Male","Adult","Yes"
"174","2nd","Male","Adult","No"
"1124","Crew","Male","Adult","No"
"704","3rd","Male","Adult","No"
"1819","Crew","Male","Adult","Yes"
"2087","2nd","Female","Adult","Yes"
"1612","2nd","Male","Adult","Yes"
"590","3rd","Male","Adult","No"
"963","Crew","Male","Adult","No"
"1702","Crew","Male","Adult","Yes"
"1008","Crew","Male","Adult","No"
"331","3rd","Male","Adult","No"
"348","3rd","Male","Adult","No"
"789","Crew","Male","Adult","No"
"1162","Crew","Male","Adult","No"
"9","3rd","Male","Child","No"
"2115","3rd","Female","Adult","Yes"
"1720","Crew","Male","Adult","Yes"
"2009","1st","Female","Adult","Yes"
"869","Crew","Male","Adult","No"
"1122","Crew","Male","Adult","No"
"2038","2nd","Female","Adult","Yes"
"1098","Crew","Male","Adult","No"
"2116","3rd","Female","Adult","Yes"
"168","1st","Male","Adult","No"
"187","2nd","Male","Adult","No"
"233","2nd","Male","Adult","No"
"1258","Crew","Male","Adult","No"
"1683","3rd","Male","Adult","Yes"
"1743","Crew","Male","Adult","Yes"
"692","3rd","Male","Adult","No"
"484","3rd","Male","Adult","No"
"1284","Crew","Male","Adult","No"
"1937","1st","Female","Adult","Yes"
"774","Crew","Male","Adult","No"
"1463","3rd","Female","Adult","No"
"1706","Crew","Male","Adult","Yes"
"131","1st","Male","Adult","No"
"2157","3rd","Female","Adult","Yes"
"713","Crew","Male","Adult","No"
"1868","Crew","Male","Adult","Yes"
"1023","Crew","Male","Adult","No"
"1015","Crew","Male","Adult","No"
"1486","3rd","Female","Adult","No"
"925","Crew","Male","Adult","No"
"353","3rd","Male","Adult","No"
"1641","3rd","Male","Adult","Yes"
"1212","Crew","Male","Adult","No"
"551","3rd","Male","Adult","No"
"406","3rd","Male","Adult","No"
"221","2nd","Male","Adult","No"
"603","3rd","Male","Adult","No"
"23","3rd","Male","Child","No"
"1324","Crew","Male","Adult","No"
"664","3rd","Male","Adult","No"
"1285","Crew","Male","Adult","No"
"555","3rd","Male","Adult","No"
"1388","2nd","Female","Adult","No"
"545","3rd","Male","Adult","No"
"1432","3rd","Female","Adult","No"
"691","3rd","Male","Adult","No"
"1279","Crew","Male","Adult","No"
"955","Crew","Male","Adult","No"
"1723","Crew","Male","Adult","Yes"
"684","3rd","Male","Adult","No"
"1502","2nd","Male","Child","Yes"
"316","2nd","Male","Adult","No"
"1935","1st","Female","Adult","Yes"
"2193","Crew","Female","Adult","Yes"
"636","3rd","Male","Adult","No"
"524","3rd","Male","Adult","No"
"1334","Crew","Male","Adult","No"
"1675","3rd","Male","Adult","Yes"
"639","3rd","Male","Adult","No"
"1238","Crew","Male","Adult","No"
"652","3rd","Male","Adult","No"
"1541","3rd","Female","Child","Yes"
"2026","2nd","Female","Adult","Yes"
"968","Crew","Male","Adult","No"
"1516","3rd","Male","Child","Yes"
"1719","Crew","Male","Adult","Yes"
"604","3rd","Male","Adult","No"
"281","2nd","Male","Adult","No"
"1544","3rd","Female","Child","Yes"
"452","3rd","Male","Adult","No"
"1894","1st","Female","Adult","Yes"
"1206","Crew","Male","Adult","No"
"1727","Crew","Male","Adult","Yes"
"1619","3rd","Male","Adult","Yes"
"1469","3rd","Female","Adult","No"
"1025","Crew","Male","Adult","No"
"620","3rd","Male","Adult","No"
"1652","3rd","Male","Adult","Yes"
"1928","1st","Female","Adult","Yes"
"755","Crew","Male","Adult","No"
"279","2nd","Male","Adult","No"
"1638","3rd","Male","Adult","Yes"
"818","Crew","Male","Adult","No"
"831","Crew","Male","Adult","No"
"1904","1st","Female","Adult","Yes"
"349","3rd","Male","Adult","No"
"1749","Crew","Male","Adult","Yes"
"89","1st","Male","Adult","No"
"811","Crew","Male","Adult","No"
"626","3rd","Male","Adult","No"
"155","1st","Male","Adult","No"
"1264","Crew","Male","Adult","No"
"1780","Crew","Male","Adult","Yes"
"1345","Crew","Male","Adult","No"
"1991","1st","Female","Adult","Yes"
"1306","Crew","Male","Adult","No"
"1631","3rd","Male","Adult","Yes"
"2040","2nd","Female","Adult","Yes"
"1517","3rd","Male","Child","Yes"
"2098","2nd","Female","Adult","Yes"
"1472","3rd","Female","Adult","No"
"1204","Crew","Male","Adult","No"
"399","3rd","Male","Adult","No"
"440","3rd","Male","Adult","No"
"1708","Crew","Male","Adult","Yes"
"1426","3rd","Female","Adult","No"
"1466","3rd","Female","Adult","No"
"1611","2nd","Male","Adult","Yes"
"304","2nd","Male","Adult","No"
"129","1st","Male","Adult","No"
"1834","Crew","Male","Adult","Yes"
"899","Crew","Male","Adult","No"
"534","3rd","Male","Adult","No"
"2160","3rd","Female","Adult","Yes"
"1949","1st","Female","Adult","Yes"
"128","1st","Male","Adult","No"
"1923","1st","Female","Adult","Yes"
"1142","Crew","Male","Adult","No"
"2165","3rd","Female","Adult","Yes"
"1538","3rd","Female","Child","Yes"
"1408","3rd","Female","Adult","No"
"319","2nd","Male","Adult","No"
"1189","Crew","Male","Adult","No"
"882","Crew","Male","Adult","No"
"801","Crew","Male","Adult","No"
"239","2nd","Male","Adult","No"
"1107","Crew","Male","Adult","No"
"1550","1st","Male","Adult","Yes"
"1665","3rd","Male","Adult","Yes"
"656","3rd","Male","Adult","No"
"2041","2nd","Female","Adult","Yes"
"1040","Crew","Male","Adult","No"
"1127","Crew","Male","Adult","No"
"1571","1st","Male","Adult","Yes"
"901","Crew","Male","Adult","No"
"523","3rd","Male","Adult","No"
"426","3rd","Male","Adult","No"
"326","3rd","Male","Adult","No"
"1532","2nd","Female","Child","Yes"
"458","3rd","Male","Adult","No"
"1737","Crew","Male","Adult","Yes"
"287","2nd","Male","Adult","No"
"616","3rd","Male","Adult","No"
"219","2nd","Male","Adult","No"
"209","2nd","Male","Adult","No"
"1543","3rd","Female","Child","Yes"
"338","3rd","Male","Adult","No"
"150","1st","Male","Adult","No"
"1678","3rd","Male","Adult","Yes"
"1626","3rd","Male","Adult","Yes"
"1957","1st","Female","Adult","Yes"
"2089","2nd","Female","Adult","Yes"
"606","3rd","Male","Adult","No"
"579","3rd","Male","Adult","No"
"1548","1st","Male","Adult","Yes"
"752","Crew","Male","Adult","No"
"607","3rd","Male","Adult","No"
"770","Crew","Male","Adult","No"
"2142","3rd","Female","Adult","Yes"
"407","3rd","Male","Adult","No"
"307","2nd","Male","Adult","No"
"566","3rd","Male","Adult","No"
"2111","3rd","Female","Adult","Yes"
"883","Crew","Male","Adult","No"
"1664","3rd","Male","Adult","Yes"
"1244","Crew","Male","Adult","No"
"1689","3rd","Male","Adult","Yes"
"230","2nd","Male","Adult","No"
"1254","Crew","Male","Adult","No"
"661","3rd","Male","Adult","No"
"1296","Crew","Male","Adult","No"
"346","3rd","Male","Adult","No"
"147","1st","Male","Adult","No"
"962","Crew","Male","Adult","No"
"2090","2nd","Female","Adult","Yes"
"1944","1st","Female","Adult","Yes"
"1889","1st","Female","Adult","Yes"
"1315","Crew","Male","Adult","No"
"390","3rd","Male","Adult","No"
"1391","2nd","Female","Adult","No"
"1131","Crew","Male","Adult","No"
"533","3rd","Male","Adult","No"
"1081","Crew","Male","Adult","No"
"1809","Crew","Male","Adult","Yes"
"216","2nd","Male","Adult","No"
"2001","1st","Female","Adult","Yes"
"251","2nd","Male","Adult","No"
"124","1st","Male","Adult","No"
"76","1st","Male","Adult","No"
"2183","Crew","Female","Adult","Yes"
"1954","1st","Female","Adult","Yes"
"1134","Crew","Male","Adult","No"
"2154","3rd","Female","Adult","Yes"
"424","3rd","Male","Adult","No"
"1747","Crew","Male","Adult","Yes"
"1771","Crew","Male","Adult","Yes"
"942","Crew","Male","Adult","No"
"1860","Crew","Male","Adult","Yes"
"1494","1st","Male","Child","Yes"
"739","Crew","Male","Adult","No"
"1637","3rd","Male","Adult","Yes"
"97","1st","Male","Adult","No"
"649","3rd","Male","Adult","No"
"3","3rd","Male","Child","No"
"215","2nd","Male","Adult","No"
"1209","Crew","Male","Adult","No"
"1101","Crew","Male","Adult","No"
"814","Crew","Male","Adult","No"
"1909","1st","Female","Adult","Yes"
"1732","Crew","Male","Adult","Yes"
"800","Crew","Male","Adult","No"
"702","3rd","Male","Adult","No"
"1701","Crew","Male","Adult","Yes"
"126","1st","Male","Adult","No"
"561","3rd","Male","Adult","No"
"454","3rd","Male","Adult","No"
"1239","Crew","Male","Adult","No"
"1305","Crew","Male","Adult","No"
"2104","2nd","Female","Adult","Yes"
"1832","Crew","Male","Adult","Yes"
"111","1st","Male","Adult","No"
"1932","1st","Female","Adult","Yes"
"386","3rd","Male","Adult","No"
"1764","Crew","Male","Adult","Yes"
"888","Crew","Male","Adult","No"
"1805","Crew","Male","Adult","Yes"
"717","Crew","Male","Adult","No"
"486","3rd","Male","Adult","No"
"985","Crew","Male","Adult","No"
"65","1st","Male","Adult","No"
"157","1st","Male","Adult","No"
"1955","1st","Female","Adult","Yes"
"1775","Crew","Male","Adult","Yes"
"413","3rd","Male","Adult","No"
"989","Crew","Male","Adult","No"
"1467","3rd","Female","Adult","No"
"1951","1st","Female","Adult","Yes"
"78","1st","Male","Adult","No"
"2070","2nd","Female","Adult","Yes"
"377","3rd","Male","Adult","No"
"790","Crew","Male","Adult","No"
"1475","3rd","Female","Adult","No"
"1986","1st","Female","Adult","Yes"
"340","3rd","Male","Adult","No"
"1814","Crew","Male","Adult","Yes"
"110","1st","Male","Adult","No"
"1297","Crew","Male","Adult","No"
"933","Crew","Male","Adult","No"
"40","3rd","Female","Child","No"
"482","3rd","Male","Adult","No"
"1102","Crew","Male","Adult","No"
"2004","1st","Female","Adult","Yes"
"2121","3rd","Female","Adult","Yes"
"5","3rd","Male","Child","No"
"270","2nd","Male","Adult","No"
"1173","Crew","Male","Adult","No"
"1988","1st","Female","Adult","Yes"
"1534","3rd","Female","Child","Yes"
"42","3rd","Female","Child","No"
"107","1st","Male","Adult","No"
"679","3rd","Male","Adult","No"
"2135","3rd","Female","Adult","Yes"
"2156","3rd","Female","Adult","Yes"
"1563","1st","Male","Adult","Yes"
"2161","3rd","Female","Adult","Yes"
"600","3rd","Male","Adult","No"
"422","3rd","Male","Adult","No"
"1685","3rd","Male","Adult","Yes"
"267","2nd","Male","Adult","No"
"546","3rd","Male","Adult","No"
"41","3rd","Female","Child","No"
"182","2nd","Male","Adult","No"
"693","3rd","Male","Adult","No"
"1049","Crew","Male","Adult","No"
"997","Crew","Male","Adult","No"
"539","3rd","Male","Adult","No"
"1462","3rd","Female","Adult","No"
"137","1st","Male","Adult","No"
"820","Crew","Male","Adult","No"
"1091","Crew","Male","Adult","No"
"231","2nd","Male","Adult","No"
"926","Crew","Male","Adult","No"
"1181","Crew","Male","Adult","No"
"235","2nd","Male","Adult","No"
"1071","Crew","Male","Adult","No"
"1262","Crew","Male","Adult","No"
"1016","Crew","Male","Adult","No"
"659","3rd","Male","Adult","No"
"62","1st","Male","Adult","No"
"582","3rd","Male","Adult","No"
"876","Crew","Male","Adult","No"
"83","1st","Male","Adult","No"
"2062","2nd","Female","Adult","Yes"
"25","3rd","Male","Child","No"
"675","3rd","Male","Adult","No"
"958","Crew","Male","Adult","No"
"1192","Crew","Male","Adult","No"
"810","Crew","Male","Adult","No"
"1967","1st","Female","Adult","Yes"
"1207","Crew","Male","Adult","No"
"576","3rd","Male","Adult","No"
"1881","Crew","Male","Adult","Yes"
"1336","Crew","Male","Adult","No"
"1267","Crew","Male","Adult","No"
"785","Crew","Male","Adult","No"
"1586","1st","Male","Adult","Yes"
"695","3rd","Male","Adult","No"
"516","3rd","Male","Adult","No"
"990","Crew","Male","Adult","No"
"674","3rd","Male","Adult","No"
"2155","3rd","Female","Adult","Yes"
"2085","2nd","Female","Adult","Yes"
"470","3rd","Male","Adult","No"
"744","Crew","Male","Adult","No"
"1572","1st","Male","Adult","Yes"
"185","2nd","Male","Adult","No"
"771","Crew","Male","Adult","No"
"2012","1st","Female","Adult","Yes"
"275","2nd","Male","Adult","No"
"698","3rd","Male","Adult","No"
"1185","Crew","Male","Adult","No"
"1684","3rd","Male","Adult","Yes"
"943","Crew","Male","Adult","No"
"24","3rd","Male","Child","No"
"438","3rd","Male","Adult","No"
"1699","Crew","Male","Adult","Yes"
"1069","Crew","Male","Adult","No"
"1926","1st","Female","Adult","Yes"
"498","3rd","Male","Adult","No"
"1398","2nd","Female","Adult","No"
"123","1st","Male","Adult","No"
"612","3rd","Male","Adult","No"
"1137","Crew","Male","Adult","No"
"1849","Crew","Male","Adult","Yes"
"1902","1st","Female","Adult","Yes"
"753","Crew","Male","Adult","No"
"211","2nd","Male","Adult","No"
"1135","Crew","Male","Adult","No"
"96","1st","Male","Adult","No"
"1133","Crew","Male","Adult","No"
"1330","Crew","Male","Adult","No"
"1208","Crew","Male","Adult","No"
"1649","3rd","Male","Adult","Yes"
"2181","3rd","Female","Adult","Yes"
"298","2nd","Male","Adult","No"
"806","Crew","Male","Adult","No"
"314","2nd","Male","Adult","No"
"856","Crew","Male","Adult","No"
"1892","1st","Female","Adult","Yes"
"2035","2nd","Female","Adult","Yes"
"1056","Crew","Male","Adult","No"
"1927","1st","Female","Adult","Yes"
"1221","Crew","Male","Adult","No"
"447","3rd","Male","Adult","No"
"1152","Crew","Male","Adult","No"
"506","3rd","Male","Adult","No"
"1870","Crew","Male","Adult","Yes"
"1601","1st","Male","Adult","Yes"
"148","1st","Male","Adult","No"
"619","3rd","Male","Adult","No"
"1635","3rd","Male","Adult","Yes"
"729","Crew","Male","Adult","No"
"461","3rd","Male","Adult","No"
"261","2nd","Male","Adult","No"
"393","3rd","Male","Adult","No"
"1718","Crew","Male","Adult","Yes"
"214","2nd","Male","Adult","No"
"562","3rd","Male","Adult","No"
"1217","Crew","Male","Adult","No"
"1505","2nd","Male","Child","Yes"
"556","3rd","Male","Adult","No"
"1085","Crew","Male","Adult","No"
"1243","Crew","Male","Adult","No"
"1952","1st","Female","Adult","Yes"
"2016","1st","Female","Adult","Yes"
"1917","1st","Female","Adult","Yes"
"851","Crew","Male","Adult","No"
"945","Crew","Male","Adult","No"
"403","3rd","Male","Adult","No"
"167","1st","Male","Adult","No"
"1856","Crew","Male","Adult","Yes"
"206","2nd","Male","Adult","No"
"412","3rd","Male","Adult","No"
"1564","1st","Male","Adult","Yes"
"134","1st","Male","Adult","No"
"703","3rd","Male","Adult","No"
"366","3rd","Male","Adult","No"
"1411","3rd","Female","Adult","No"
"250","2nd","Male","Adult","No"
"2033","2nd","Female","Adult","Yes"
"1272","Crew","Male","Adult","No"
"1798","Crew","Male","Adult","Yes"
"1707","Crew","Male","Adult","Yes"
"282","2nd","Male","Adult","No"
"1583","1st","Male","Adult","Yes"
"934","Crew","Male","Adult","No"
"1255","Crew","Male","Adult","No"
"1791","Crew","Male","Adult","Yes"
"681","3rd","Male","Adult","No"
"1130","Crew","Male","Adult","No"
"1691","3rd","Male","Adult","Yes"
"2177","3rd","Female","Adult","Yes"
"1990","1st","Female","Adult","Yes"
"1252","Crew","Male","Adult","No"
"1758","Crew","Male","Adult","Yes"
"723","Crew","Male","Adult","No"
"1387","2nd","Female","Adult","No"
"1092","Crew","Male","Adult","No"
"1590","1st","Male","Adult","Yes"
"1352","Crew","Male","Adult","No"
"708","3rd","Male","Adult","No"
"1782","Crew","Male","Adult","Yes"
"1765","Crew","Male","Adult","Yes"
"1506","2nd","Male","Child","Yes"
"550","3rd","Male","Adult","No"
"1342","Crew","Male","Adult","No"
"305","2nd","Male","Adult","No"
"373","3rd","Male","Adult","No"
"864","Crew","Male","Adult","No"
"1112","Crew","Male","Adult","No"
"1176","Crew","Male","Adult","No"
"1674","3rd","Male","Adult","Yes"
"1984","1st","Female","Adult","Yes"
"1320","Crew","Male","Adult","No"
"2133","3rd","Female","Adult","Yes"
"813","Crew","Male","Adult","No"
"397","3rd","Male","Adult","No"
"1850","Crew","Male","Adult","Yes"
"1455","3rd","Female","Adult","No"
"436","3rd","Male","Adult","No"
"889","Crew","Male","Adult","No"
"1045","Crew","Male","Adult","No"
"751","Crew","Male","Adult","No"
"1777","Crew","Male","Adult","Yes"
"863","Crew","Male","Adult","No"
"485","3rd","Male","Adult","No"
"1961","1st","Female","Adult","Yes"
"1960","1st","Female","Adult","Yes"
"1406","3rd","Female","Adult","No"
"1118","Crew","Male","Adult","No"
"2144","3rd","Female","Adult","Yes"
"1072","Crew","Male","Adult","No"
"263","2nd","Male","Adult","No"
"669","3rd","Male","Adult","No"
"453","3rd","Male","Adult","No"
"324","2nd","Male","Adult","No"
"1167","Crew","Male","Adult","No"
"360","3rd","Male","Adult","No"
"1580","1st","Male","Adult","Yes"
"361","3rd","Male","Adult","No"
"2143","3rd","Female","Adult","Yes"
"2178","3rd","Female","Adult","Yes"
"1907","1st","Female","Adult","Yes"
"671","3rd","Male","Adult","No"
"1449","3rd","Female","Adult","No"
"1471","3rd","Female","Adult","No"
"615","3rd","Male","Adult","No"
"1947","1st","Female","Adult","Yes"
"1594","1st","Male","Adult","Yes"
"1802","Crew","Male","Adult","Yes"
"937","Crew","Male","Adult","No"
"1295","Crew","Male","Adult","No"
"1197","Crew","Male","Adult","No"
"114","1st","Male","Adult","No"
"1178","Crew","Male","Adult","No"
"32","3rd","Male","Child","No"
"378","3rd","Male","Adult","No"
"1644","3rd","Male","Adult","Yes"
"1161","Crew","Male","Adult","No"
"48","3rd","Female","Child","No"
"334","3rd","Male","Adult","No"
"1271","Crew","Male","Adult","No"
"1256","Crew","Male","Adult","No"
"2034","2nd","Female","Adult","Yes"
"2011","1st","Female","Adult","Yes"
"1174","Crew","Male","Adult","No"
"1110","Crew","Male","Adult","No"
"1060","Crew","Male","Adult","No"
"1592","1st","Male","Adult","Yes"
"1813","Crew","Male","Adult","Yes"
"2032","2nd","Female","Adult","Yes"
"1700","Crew","Male","Adult","Yes"
"2069","2nd","Female","Adult","Yes"
"881","Crew","Male","Adult","No"
"1047","Crew","Male","Adult","No"
"1510","3rd","Male","Child","Yes"
"1906","1st","Female","Adult","Yes"
"20","3rd","Male","Child","No"
"2045","2nd","Female","Adult","Yes"
"2107","3rd","Female","Adult","Yes"
"1748","Crew","Male","Adult","Yes"
"351","3rd","Male","Adult","No"
"2013","1st","Female","Adult","Yes"
"980","Crew","Male","Adult","No"
"1568","1st","Male","Adult","Yes"
"749","Crew","Male","Adult","No"
"289","2nd","Male","Adult","No"
"336","3rd","Male","Adult","No"
"527","3rd","Male","Adult","No"
"1313","Crew","Male","Adult","No"
"1487","3rd","Female","Adult","No"
"893","Crew","Male","Adult","No"
"598","3rd","Male","Adult","No"
"1561","1st","Male","Adult","Yes"
"81","1st","Male","Adult","No"
"2158","3rd","Female","Adult","Yes"
"585","3rd","Male","Adult","No"
"1441","3rd","Female","Adult","No"
"2169","3rd","Female","Adult","Yes"
"805","Crew","Male","Adult","No"
"1051","Crew","Male","Adult","No"
"416","3rd","Male","Adult","No"
"1603","1st","Male","Adult","Yes"
"10","3rd","Male","Child","No"
"1224","Crew","Male","Adult","No"
"1274","Crew","Male","Adult","No"
"543","3rd","Male","Adult","No"
"1027","Crew","Male","Adult","No"
"824","Crew","Male","Adult","No"
"1985","1st","Female","Adult","Yes"
"1321","Crew","Male","Adult","No"
"455","3rd","Male","Adult","No"
"1524","2nd","Female","Child","Yes"
"658","3rd","Male","Adult","No"
"1019","Crew","Male","Adult","No"
"1103","Crew","Male","Adult","No"
"161","1st","Male","Adult","No"
"1226","Crew","Male","Adult","No"
"388","3rd","Male","Adult","No"
"1377","Crew","Male","Adult","No"
"1963","1st","Female","Adult","Yes"
"296","2nd","Male","Adult","No"
"1998","1st","Female","Adult","Yes"
"313","2nd","Male","Adult","No"
"1055","Crew","Male","Adult","No"
"935","Crew","Male","Adult","No"
"1745","Crew","Male","Adult","Yes"
"728","Crew","Male","Adult","No"
"687","3rd","Male","Adult","No"
"15","3rd","Male","Child","No"
"861","Crew","Male","Adult","No"
"686","3rd","Male","Adult","No"
"1865","Crew","Male","Adult","Yes"
"481","3rd","Male","Adult","No"
"1811","Crew","Male","Adult","Yes"
"2072","2nd","Female","Adult","Yes"
"2088","2nd","Female","Adult","Yes"
"496","3rd","Male","Adult","No"
"1347","Crew","Male","Adult","No"
"1531","2nd","Female","Child","Yes"
"283","2nd","Male","Adult","No"
"434","3rd","Male","Adult","No"
"866","Crew","Male","Adult","No"
"1268","Crew","Male","Adult","No"
"2175","3rd","Female","Adult","Yes"
"1012","Crew","Male","Adult","No"
"1879","Crew","Male","Adult","Yes"
"906","Crew","Male","Adult","No"
"845","Crew","Male","Adult","No"
"855","Crew","Male","Adult","No"
"1970","1st","Female","Adult","Yes"
"1260","Crew","Male","Adult","No"
"969","Crew","Male","Adult","No"
"1740","Crew","Male","Adult","Yes"
"511","3rd","Male","Adult","No"
"1042","Crew","Male","Adult","No"
"1402","3rd","Female","Adult","No"
"445","3rd","Male","Adult","No"
"1319","Crew","Male","Adult","No"
"1229","Crew","Male","Adult","No"
"870","Crew","Male","Adult","No"
"1971","1st","Female","Adult","Yes"
"1132","Crew","Male","Adult","No"
"2020","1st","Female","Adult","Yes"
"58","1st","Male","Adult","No"
